Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Mom_Hist,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.02 05:42:25,453,IDLE,1,STABLE,4652.21000,4652.60000,39.4,100.00,100.00,4651.21000,4657.38000,4648.95000,4652.21000,34.98,-67.83,29.81380,-6.97314,-11.43984,14.11,50.00,0.00,-50.00,61.96049,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:25,625,IDLE,1,STABLE,4652.26000,4652.65000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4652.26000,35.01,-67.64,25.00520,-4.80860,-11.39699,14.16,50.00,0.00,-50.00,61.99411,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:25,810,IDLE,1,STABLE,4652.04000,4652.43000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4652.04000,34.87,-68.48,22.10574,-2.89946,-11.58556,13.94,50.00,0.00,-50.00,61.84312,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:25,7,IDLE,1,STABLE,4651.76000,4652.15000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.76000,34.69,-69.55,24.63027,2.52453,-11.82556,13.66,50.00,0.00,-50.00,61.63928,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:26,192,IDLE,1,STABLE,4651.87000,4652.26000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.87000,34.76,-69.13,24.24967,-0.38060,-11.73127,13.77,50.00,0.00,-50.00,61.72094,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:26,403,IDLE,1,STABLE,4651.74000,4652.13000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.74000,34.67,-69.63,26.99905,2.74937,-11.84270,13.64,50.00,0.00,-50.00,61.62421,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:26,570,IDLE,1,STABLE,4651.50000,4651.89000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.50000,34.52,-70.54,34.36902,7.36997,-12.04841,13.40,50.00,0.00,-50.00,61.43800,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:26,742,IDLE,1,STABLE,4651.38000,4651.77000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.38000,34.44,-71.00,43.27997,8.91095,-12.15127,13.28,50.00,0.00,-50.00,61.34111,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:26,924,IDLE,1,STABLE,4650.67000,4651.06000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4650.67000,34.12,-73.68,59.24213,15.96215,-12.75984,-0.46,50.00,-1.85,-50.00,60.71448,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:27,163,IDLE,1,STABLE,4650.82000,4651.21000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4650.82000,34.17,-73.12,63.71315,4.47102,-12.63127,-0.31,50.00,-1.25,-50.00,60.85464,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:27,388,IDLE,1,STABLE,4651.12000,4651.51000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.12000,34.27,-71.98,63.55441,-0.15874,-12.37413,-0.01,50.00,0.00,-50.00,61.12237,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 05:42:27,45,IDLE,1,STABLE,4651.13000,4651.52000,38.8,100.00,100.00,4651.21000,4657.38000,4648.95000,4651.13000,34.27,-71.94,59.06515,-4.48926,-12.36556,13.03,50.00,0.00,-50.00,61.13101,1045538.52,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
