Time,TickMS,Action,LotSize,Bid,Ask,Spread,Velocity,Hybrid_MACD,Hybrid_Color,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Floating_PL,Realized_PL,Session_PL,PosCount,Decision_Log
2026-02-03 21:33:57,314,IDLE,0.01,4930.66,4931.05,39.0,0.0,5.29164,0,6.65,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:58,351,IDLE,0.01,4930.62,4931.01,39.0,0.0,5.25735,0,6.61,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:58,552,IDLE,0.01,4930.69,4931.08,39.0,0.0,5.31735,0,6.68,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:59,718,IDLE,0.01,4930.67,4931.06,39.0,0.0,5.30021,0,6.66,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:59,877,IDLE,0.01,4930.13,4930.52,39.0,0.0,4.83735,0,6.12,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:59,162,IDLE,0.01,4930.12,4930.51,39.0,10.45499,4.82878,0,6.11,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:59,380,IDLE,0.01,4930.13,4930.52,39.0,17.35481,4.83735,0,6.12,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:33:59,555,IDLE,0.01,4930.15,4930.54,39.0,24.65155,4.85449,0,6.14,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:00,460,IDLE,0.01,4930.49,4930.88,39.0,26.40417,5.49061,0,6.48,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:00,298,IDLE,0.01,4930.41,4930.8,39.0,24.67188,5.42204,0,6.4,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:00,838,IDLE,0.01,4930.12,4930.51,39.0,29.55144,5.17346,0,-0.03,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:00,110,IDLE,0.01,4930.18,4930.57,39.0,24.45219,5.22489,0,6.17,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:01,748,IDLE,0.01,4930.5,4930.89,39.0,26.99582,5.49918,0,6.49,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:01,929,IDLE,0.01,4930.44,4930.83,39.0,27.45746,5.44775,0,6.43,50.0,0.0,-50.0,0.0,0.0,0.0,0,
2026-02-03 21:34:01,85,IDLE,0.01,4930.46,4930.85,39.0,27.41469,5.46489,0,6.45,50.0,0.0,-50.0,0.0,0.0,0.0,0,
