TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
4143370,6904.01,6904.61,7.45252,-1.86313,60.0,100,150,4000,0,0,100,150,4000,0,0
4147922,6904.26,6904.86,7.06092,-0.39160,60.0,100,150,4000,0,0,100,150,4000,0,0
4149707,6904.26,6904.86,7.06092,-0.39160,60.0,100,150,4000,0,0,100,150,4000,0,0
4150588,6904.01,6904.61,7.52350,0.46258,60.0,100,150,4000,0,0,100,150,4000,0,0
4151358,6904.26,6904.86,6.01880,-1.50470,60.0,100,150,4000,0,0,100,150,4000,0,0
4151761,6904.01,6904.61,4.81504,-1.20376,60.0,100,150,4000,0,0,100,150,4000,0,0
4152182,6904.26,6904.86,6.99471,2.17967,60.0,100,150,4000,0,0,100,150,4000,0,0
4152547,6904.01,6904.61,9.79745,2.80274,60.0,100,150,4000,0,0,100,150,4000,0,0
4163521,6904.26,6904.86,8.29366,-1.50378,60.0,100,150,4000,0,0,100,150,4000,0,0
4165062,6904.01,6904.61,9.90718,1.61352,60.0,100,150,4000,0,0,100,150,4000,0,0
4165451,6904.26,6904.86,7.92575,-1.98144,60.0,100,150,4000,0,0,100,150,4000,0,0
4165612,6904.01,6904.61,8.72951,0.80377,60.0,100,150,4000,0,0,100,150,4000,0,0
4166247,6904.26,6904.86,11.15375,2.42424,60.0,100,150,4000,0,0,100,150,4000,0,0
4166892,6904.51,6905.11,16.73550,5.58175,60.0,100,150,4000,0,0,100,150,4000,0,0
4167129,6904.76,6905.36,23.33535,6.59985,60.0,100,150,4000,0,0,100,150,4000,0,0
4169838,6905.01,6905.61,20.50855,-2.82681,60.0,100,150,4000,0,0,100,150,4000,0,0
4171050,6905.26,6905.86,20.53566,0.02711,60.0,100,150,4000,0,0,100,150,4000,0,0
4171239,6905.01,6905.61,16.42852,-4.10713,60.0,100,150,4000,0,0,100,150,4000,0,0
4174845,6905.26,6905.86,14.52978,-1.89874,60.0,100,150,4000,0,0,100,150,4000,0,0
4175409,6905.01,6905.61,11.62383,-2.90596,60.0,100,150,4000,0,0,100,150,4000,0,0
4175980,6905.26,6905.86,9.29906,-2.32477,60.0,100,150,4000,0,0,100,150,4000,0,0
4177569,6905.01,6905.61,10.58786,1.28880,60.0,100,150,4000,0,0,100,150,4000,0,0
4177847,6905.26,6905.86,8.47029,-2.11757,60.0,100,150,4000,0,0,100,150,4000,0,0
4179244,6905.01,6905.61,10.35277,1.88248,60.0,100,150,4000,0,0,100,150,4000,0,0
4180607,6905.26,6905.86,11.96139,1.60862,60.0,100,150,4000,0,0,100,150,4000,0,0
4184751,6905.01,6905.61,10.77510,-1.18630,60.0,100,150,4000,0,0,100,150,4000,0,0
4185866,6905.01,6905.61,10.77510,-1.18630,60.0,100,150,4000,0,0,100,150,4000,0,0
4186814,6905.01,6905.61,10.77510,-1.18630,60.0,100,150,4000,0,0,100,150,4000,0,0
4187125,6904.26,6904.86,14.93587,4.16077,60.0,100,150,4000,0,0,100,150,4000,0,0
4187770,6904.51,6905.11,15.26434,0.32848,60.0,100,150,4000,0,0,100,150,4000,0,0
4189354,6904.26,6904.86,15.36009,0.09575,60.0,100,150,4000,0,0,100,150,4000,0,0
4189631,6904.51,6905.11,12.28807,-3.07202,60.0,100,150,4000,0,0,100,150,4000,0,0
4190346,6904.76,6905.36,11.76769,-0.52038,60.0,100,150,4000,0,0,100,150,4000,0,0
4200906,6905.01,6905.61,9.88773,-1.87996,60.0,100,150,4000,0,0,100,150,4000,0,0
4204047,6905.26,6905.86,9.50254,-0.38519,60.0,100,150,4000,0,0,100,150,4000,0,0
4204766,6905.51,6906.11,10.19405,0.69151,60.0,100,150,4000,0,0,100,150,4000,0,0
4205281,6905.26,6905.86,8.15524,-2.03881,60.0,100,150,4000,0,0,100,150,4000,0,0
4206331,6905.01,6905.61,11.26802,3.11279,60.0,100,150,4000,0,0,100,150,4000,0,0
4211318,6905.26,6905.86,10.01803,-1.24999,60.0,100,150,4000,0,0,100,150,4000,0,0
4214432,6905.01,6905.61,9.62008,-0.39795,60.0,100,150,4000,0,0,100,150,4000,0,0
4218914,6905.26,6905.86,8.81263,-0.80745,60.0,100,150,4000,0,0,100,150,4000,0,0
4219488,6905.01,6905.61,7.05011,-1.76253,60.0,100,150,4000,0,0,100,150,4000,0,0
