TP_Zone,mean,count,std
Danger (<0.5),101.01372968000001,875,76.02996304438642
Close (0.5-1),50.716221422722626,2931,53.87750206363701
Near (1-1.5),37.41003946656051,5024,30.3232107643421
Far (2-5),48.00892567862714,641,28.532783831637563
