 $ sudo ./radar_env/bin/python ebpf_sniffer_v5_port_based.py
[sudo] Misi jelszava:
⚙ eBPF (BCC) 'Port-Based' kód fordítása és betöltése (Kérlek várj)...
✅ Sikeres kprobe attach: ip_local_out
📡 RED TEAM SNIFFER AKTÍV (V5 - Port-Based). Figyelt port: 443. Payload mentése ide: logs/
   Nyomj Ctrl+C-t a leállításhoz.
[TCP OUT] MQL5.community (PID: 42617) | 192.168.1.103 -> 78.140.180.43:443 | Size: 754 bytes
[TCP OUT] MQL5.community (PID: 42617) | 192.168.1.103 -> 78.140.180.54:443 | Size: 98 bytes
[TCP OUT] MQL5.community (PID: 42617) | 192.168.1.103 -> 78.140.180.54:443 | Size: 1311 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 78.140.180.43:443 | Size: 52 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 758 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] Xorg (PID: 2227) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport dispatch (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 61 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 194.164.179.199:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] kwin_x11 (PID: 2520) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 194.164.179.199:443 | Size: 60 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] plasmashe:rcs0 (PID: 2582) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] Xorg (PID: 2227) | 192.168.1.103 -> 194.164.179.199:443 | Size: 52 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 52 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 52 bytes
