  eBPF (BCC) 'Port-Based' kód fordítása és betöltése (Kérlek várj)...
✅ Sikeres kprobe attach: ip_local_out
📡 RED TEAM SNIFFER AKTÍV (V5 - Port-Based). Figyelt port: 443. Payload mentése ide: logs/
   Nyomj Ctrl+C-t a leállításhoz.
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 3.215.9.51:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 3.215.9.51:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 52.202.235.91:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 52.202.235.91:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 52.202.235.91:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 52.202.235.91:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 52.202.235.91:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 52.202.235.91:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.132.78.251:443 | Size: 95 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.132.78.251:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.132.78.251:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.132.78.251:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.132.78.251:443 | Size: 69 bytes
[TCP OUT] ioport pool thr (PID: 55834) | 192.168.1.103 -> 18.132.78.251:443 | Size: 69 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 126 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 757 bytes
[TCP OUT] liveupdate web (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 307 bytes
[TCP OUT] liveupdate web (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 126 bytes
[TCP OUT] liveupdate web (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 480 bytes
[TCP OUT] liveupdate web (PID: 55834) | 192.168.1.103 -> 78.140.180.43:443 | Size: 479 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 126 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 756 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 69 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 766 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 766 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 766 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 766 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 126 bytes
[TCP OUT] controller (PID: 55834) | 192.168.1.103 -> 194.164.179.199:443 | Size: 758 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 118 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 211 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 208 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 132 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 201 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
