Time,TickMS,Action,LotSize,Bid,Ask,Spread,Velocity,Hybrid_MACD,Hybrid_Color,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Floating_PL,Realized_PL,Session_PL,PosCount,Decision_Log
2026.02.03 21:40:00,193,IDLE,0.01,4939.17000,4939.56000,39.6,35.50891,7.49067,1,0.25000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:00,363,IDLE,0.01,4938.16000,4938.55000,39.6,40.03333,6.62496,1,-1.73000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:00,566,IDLE,0.01,4938.53000,4938.92000,39.6,39.71897,6.94210,1,-1.36000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:01,784,IDLE,0.01,4938.69000,4939.08000,39.6,35.66767,7.07924,1,-1.20000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:01,984,IDLE,0.01,4938.31000,4938.70000,39.6,47.07959,6.75353,1,-1.58000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:01,158,IDLE,0.01,4938.41000,4938.80000,39.6,55.72699,6.83924,1,-1.48000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:01,382,IDLE,0.01,4938.44000,4938.83000,39.6,50.07717,6.86496,1,-1.45000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:01,542,IDLE,0.01,4938.49000,4938.88000,39.6,45.66445,6.90782,1,-1.40000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:02,705,IDLE,0.01,4938.55000,4938.94000,39.6,36.88275,6.95924,1,-1.34000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:02,948,IDLE,0.01,4938.56000,4938.95000,39.6,31.73796,6.96782,1,-1.33000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:02,126,IDLE,0.01,4939.11000,4939.50000,39.6,39.41315,7.43924,1,0.19000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:40:02,316,IDLE,0.01,4938.66000,4939.05000,39.6,35.84831,7.05353,1,-1.23000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
