Time,TickMS,Action,LotSize,Bid,Ask,Spread,Velocity,Hybrid_MACD,Hybrid_Color,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Floating_PL,Realized_PL,Session_PL,PosCount,Decision_Log
2026.02.03 21:33:57,314,IDLE,0.01,4930.66000,4931.05000,39.0,0.00000,5.29164,0,6.65000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:58,351,IDLE,0.01,4930.62000,4931.01000,39.0,0.00000,5.25735,0,6.61000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:58,552,IDLE,0.01,4930.69000,4931.08000,39.0,0.00000,5.31735,0,6.68000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:59,718,IDLE,0.01,4930.67000,4931.06000,39.0,0.00000,5.30021,0,6.66000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:59,877,IDLE,0.01,4930.13000,4930.52000,39.0,0.00000,4.83735,0,6.12000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:59,162,IDLE,0.01,4930.12000,4930.51000,39.0,10.45499,4.82878,0,6.11000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:59,380,IDLE,0.01,4930.13000,4930.52000,39.0,17.35481,4.83735,0,6.12000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:33:59,555,IDLE,0.01,4930.15000,4930.54000,39.0,24.65155,4.85449,0,6.14000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:34:00,838,IDLE,0.01,4930.12000,4930.51000,39.0,29.55144,5.17346,0,-0.03000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:34:00,110,IDLE,0.01,4930.18000,4930.57000,39.0,24.45219,5.22489,0,6.17000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
2026.02.03 21:34:00,298,IDLE,0.01,4930.41000,4930.80000,39.0,24.67188,5.42204,0,6.40000,50.00,0.00,-50.00,0.00,0.00,0.00,0,
