Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Mom_Hist,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.02 14:13:22,570,IDLE,1,STABLE,4756.46000,4756.85000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.46000,45.48,-32.96,10.96491,-1.01312,-2.98150,-16.07,50.00,-78.88,-50.00,-98.28083,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:22,840,IDLE,1,STABLE,4756.41000,4756.80000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.41000,45.44,-33.42,9.28018,-1.68472,-3.02435,-16.12,50.00,-79.57,-50.00,-98.40698,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:23,202,IDLE,1,STABLE,4756.33000,4756.72000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.33000,45.38,-34.15,8.74117,-0.53901,-3.09293,-16.20,50.00,-80.61,-50.00,-98.60585,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:23,387,IDLE,1,STABLE,4756.35000,4756.74000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.35000,45.40,-33.97,7.79486,-0.94631,-3.07578,-16.18,50.00,-80.56,-50.00,-98.55647,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:23,550,IDLE,1,STABLE,4756.39000,4756.78000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.39000,45.43,-33.60,6.37703,-1.41783,-3.04150,-16.14,50.00,-80.28,-50.00,-98.45704,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:23,808,IDLE,1,STABLE,4756.47000,4756.86000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.47000,45.49,-32.87,5.26214,-1.11489,-2.97293,-16.06,50.00,-79.54,-50.00,-98.25543,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:24,783,IDLE,1,STABLE,4756.94000,4757.33000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.94000,45.84,-28.56,13.15280,7.89066,-2.57007,-15.59,50.00,-74.25,-50.00,-96.99600,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:25,570,IDLE,1,STABLE,4756.85000,4757.24000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.85000,45.77,-29.39,14.85520,1.70239,-2.64721,-15.68,50.00,-75.39,-50.00,-97.24723,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:25,833,IDLE,1,STABLE,4756.84000,4757.23000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.84000,45.77,-29.48,13.79255,-1.06264,-2.65578,-15.69,50.00,-75.60,-50.00,-97.27485,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:25,18,IDLE,1,STABLE,4756.85000,4757.24000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.85000,45.77,-29.39,12.49153,-1.30102,-2.64721,-15.68,50.00,-75.58,-50.00,-97.24723,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:26,722,IDLE,1,STABLE,4756.90000,4757.29000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4756.90000,45.81,-28.92,10.85678,-1.63475,-2.60435,-15.63,50.00,-75.06,-50.00,-97.10825,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.02 14:13:26,902,IDLE,1,STABLE,4757.11000,4757.50000,39.0,100.00,100.00,4757.83000,4758.74000,4756.19000,4757.11000,45.97,-26.99,13.72744,2.87066,-2.42435,-15.42,50.00,-72.55,-50.00,-96.50817,1238493.23,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
