Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.03 22:32:53,829,IDLE,0,STABLE,4946.58000,4946.97000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.58000,64.73,132.20,0.00000,0.00000,11.52449,12.67,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:53,488,IDLE,0,STABLE,4946.61000,4947.00000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.61000,64.75,132.49,0.00000,0.00000,11.55021,12.70,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:53,674,IDLE,0,STABLE,4946.60000,4946.99000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.60000,64.74,132.39,0.00000,0.00000,11.54164,12.69,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:55,764,IDLE,0,STABLE,4946.40000,4946.79000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.40000,64.62,130.50,0.00000,0.00000,11.37021,12.49,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:55,981,IDLE,0,STABLE,4946.44000,4946.83000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4946.44000,64.64,130.88,0.00000,0.00000,11.40449,12.53,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:55,210,IDLE,0,STABLE,4946.48000,4946.87000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.48000,64.67,131.26,1.56148,1.56148,11.43878,12.57,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:55,495,IDLE,0,STABLE,4946.42000,4946.81000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4946.42000,64.63,130.69,3.22612,1.66464,11.38735,12.51,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:56,863,IDLE,0,STABLE,4946.40000,4946.79000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4946.40000,64.62,130.50,2.58090,-0.64522,11.37021,12.49,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:56,110,IDLE,0,STABLE,4946.26000,4946.65000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4946.26000,64.53,129.16,5.25621,2.67531,11.25021,12.35,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:56,312,IDLE,0,STABLE,4945.73000,4946.12000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4945.73000,64.12,124.06,17.82894,12.57274,10.79592,-0.13,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:56,491,IDLE,0,STABLE,4945.70000,4946.09000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4945.70000,64.08,123.76,26.45066,8.62171,10.77021,-0.16,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:56,644,IDLE,0,STABLE,4945.75000,4946.14000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4945.75000,64.14,124.25,32.82284,6.37218,10.81307,-0.11,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:57,850,IDLE,0,STABLE,4945.87000,4946.26000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4945.87000,64.28,125.41,34.37635,1.55351,10.91592,11.96,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:57,417,IDLE,0,STABLE,4945.92000,4946.31000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4945.92000,64.31,125.90,30.94311,-3.43324,10.95878,12.01,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:57,613,IDLE,0,STABLE,4945.93000,4946.32000,39.0,100.00,100.00,4946.33000,4947.82000,4945.38000,4945.93000,64.31,125.99,28.85431,-2.08880,10.96735,12.02,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:58,944,IDLE,0,STABLE,4945.89000,4946.28000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4945.89000,64.29,125.61,23.44908,-5.40523,10.93307,11.98,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:58,219,IDLE,0,STABLE,4945.90000,4946.29000,39.0,0.00,0.00,4946.33000,4947.82000,4945.38000,4945.90000,64.30,125.70,19.19754,-4.25154,10.94164,11.99,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:58,610,IDLE,0,STABLE,4946.10000,4946.45000,38.8,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.10000,64.42,127.63,18.03810,-1.15944,11.11307,12.19,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:59,763,IDLE,0,STABLE,4946.65000,4947.04000,38.8,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.65000,64.77,132.87,26.95222,8.91412,11.58449,12.74,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:32:59,319,IDLE,0,STABLE,4946.66000,4947.05000,38.8,100.00,100.00,4946.33000,4947.82000,4945.38000,4946.66000,64.78,132.96,35.36741,8.41519,11.59307,12.75,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:00,155,IDLE,0,STABLE,4946.66000,4947.05000,38.8,100.00,100.00,4946.66000,4946.66000,4946.66000,4946.66000,64.78,110.31,28.43781,-6.92960,9.85146,12.75,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:00,546,IDLE,0,STABLE,4946.64000,4947.03000,38.8,0.00,0.00,4946.66000,4946.66000,4946.64000,4946.64000,64.76,110.13,23.07651,-5.36130,9.83432,-0.02,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:01,211,IDLE,0,STABLE,4946.63000,4947.02000,38.8,100.00,100.00,4946.66000,4946.66000,4946.63000,4946.63000,64.74,110.04,19.02832,-4.04819,9.82575,-0.03,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:01,677,IDLE,0,STABLE,4946.70000,4947.09000,38.8,100.00,100.00,4946.66000,4946.70000,4946.63000,4946.70000,64.81,110.67,16.28366,-2.74466,9.88575,12.79,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:02,891,IDLE,0,STABLE,4946.72000,4947.11000,38.8,100.00,100.00,4946.66000,4946.72000,4946.63000,4946.72000,64.82,110.85,14.21741,-2.06626,9.90289,12.81,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:02,213,IDLE,0,STABLE,4946.76000,4947.15000,38.8,100.00,100.00,4946.66000,4946.76000,4946.63000,4946.76000,64.85,111.22,13.96873,-0.24867,9.93717,12.85,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:02,632,IDLE,0,STABLE,4946.77000,4947.16000,38.9,100.00,100.00,4946.66000,4946.77000,4946.63000,4946.77000,64.86,111.31,13.14543,-0.82330,9.94575,12.86,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:03,924,IDLE,0,STABLE,4946.87000,4947.26000,38.9,100.00,100.00,4946.66000,4946.87000,4946.63000,4946.87000,64.92,112.21,13.41770,0.27227,10.03146,12.96,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:03,627,IDLE,0,STABLE,4946.86000,4947.25000,38.9,100.00,100.00,4946.66000,4946.87000,4946.63000,4946.86000,64.92,112.12,12.14659,-1.27111,10.02289,12.95,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:04,263,IDLE,0,STABLE,4946.87000,4947.26000,38.9,100.00,100.00,4946.66000,4946.87000,4946.63000,4946.87000,64.92,112.21,9.71727,-2.42932,10.03146,12.96,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:05,771,IDLE,0,STABLE,4946.80000,4947.19000,38.9,0.00,0.00,4946.66000,4946.87000,4946.63000,4946.80000,64.88,111.58,8.82369,-0.89359,9.97146,12.89,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:05,945,IDLE,0,STABLE,4946.85000,4947.24000,38.9,100.00,100.00,4946.66000,4946.87000,4946.63000,4946.85000,64.91,112.03,7.21081,-1.61288,10.01432,12.94,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:05,212,IDLE,0,STABLE,4946.83000,4947.22000,38.9,100.00,100.00,4946.66000,4946.87000,4946.63000,4946.83000,64.90,111.85,6.14767,-1.06313,9.99717,12.92,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:06,877,IDLE,0,STABLE,4946.81000,4947.20000,38.9,100.00,100.00,4946.66000,4946.87000,4946.63000,4946.81000,64.88,111.67,5.09913,-1.04854,9.98003,12.90,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:06,49,IDLE,0,STABLE,4946.84000,4947.23000,38.9,0.00,0.00,4946.66000,4946.87000,4946.63000,4946.84000,64.90,111.94,4.26063,-0.83850,10.00575,12.93,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:06,256,IDLE,0,STABLE,4947.08000,4947.47000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4947.08000,65.06,114.09,8.19778,3.93715,10.21146,13.17,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:06,470,IDLE,0,STABLE,4946.77000,4947.16000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.77000,64.86,111.31,7.51136,-0.68642,9.94575,12.86,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:06,634,IDLE,0,STABLE,4946.74000,4947.13000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.74000,64.84,111.03,7.27402,-0.23734,9.92003,12.83,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:07,214,IDLE,0,STABLE,4946.81000,4947.20000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.81000,64.88,111.67,6.33424,-0.93978,9.98003,12.90,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:07,424,IDLE,0,STABLE,4946.85000,4947.24000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.85000,64.91,112.03,9.00238,2.66814,10.01432,12.94,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:07,607,IDLE,0,STABLE,4946.89000,4947.28000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.89000,64.94,112.39,9.31272,0.31034,10.04860,12.98,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:08,853,IDLE,0,STABLE,4946.88000,4947.27000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.88000,64.93,112.30,9.75092,0.43820,10.04003,12.97,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:09,787,IDLE,0,STABLE,4946.86000,4947.25000,38.9,100.00,100.00,4946.66000,4947.08000,4946.63000,4946.86000,64.92,112.12,8.31007,-1.44085,10.02289,12.95,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:09,984,IDLE,0,STABLE,4946.89000,4947.28000,38.9,0.00,0.00,4946.66000,4947.08000,4946.63000,4946.89000,64.94,112.39,6.82473,-1.48534,10.04860,12.98,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
2026.02.03 22:33:09,271,IDLE,0,STABLE,4947.01000,4947.40000,38.9,0.00,0.00,4946.66000,4947.08000,4946.63000,4947.01000,65.02,113.47,7.29206,0.46733,10.15146,13.10,50.00,0.00,-50.00,1275808.66,0.00,0.00,0.00,0.00,0.00,0,NONE,0.00,NONE,NONE,
