Time,Open,High,Low,Close,Volume
2025.12.12 01:00:00,6908.47,6908.47,6905.41,6906.66,61
2025.12.12 01:01:00,6906.59,6911.22,6906.59,6909.09,76
2025.12.12 01:02:00,6909.47,6909.59,6908.59,6908.66,42
2025.12.12 01:03:00,6908.84,6909.09,6908.47,6908.59,25
2025.12.12 01:04:00,6909.34,6909.59,6906.97,6906.97,18
2025.12.12 01:05:00,6907.09,6907.84,6906.59,6907.84,39
2025.12.12 01:06:00,6907.72,6907.72,6902.47,6904.34,79
2025.12.12 01:07:00,6904.22,6906.28,6902.84,6905.66,73
2025.12.12 01:08:00,6905.72,6906.97,6905.59,6906.34,41
2025.12.12 01:09:00,6906.34,6906.47,6904.16,6904.22,41
2025.12.12 01:10:00,6904.47,6905.47,6904.09,6904.97,34
2025.12.12 01:11:00,6904.97,6906.22,6904.72,6905.59,18
2025.12.12 01:12:00,6905.34,6905.34,6903.97,6904.34,34
2025.12.12 01:13:00,6904.34,6904.34,6902.59,6902.59,48
2025.12.12 01:14:00,6902.34,6902.47,6899.72,6900.97,47
2025.12.12 01:15:00,6900.97,6901.59,6900.22,6900.22,38
2025.12.12 01:16:00,6900.22,6900.47,6899.47,6900.34,42
2025.12.12 01:17:00,6900.47,6901.97,6900.47,6901.47,46
2025.12.12 01:18:00,6901.47,6901.47,6900.59,6900.66,29
2025.12.12 01:19:00,6900.72,6901.72,6900.47,6901.47,33
2025.12.12 01:20:00,6901.47,6901.72,6900.97,6901.72,38
2025.12.12 01:21:00,6901.72,6901.72,6900.84,6900.84,20
2025.12.12 01:22:00,6900.97,6901.47,6900.97,6901.34,11
2025.12.12 01:23:00,6900.97,6901.09,6900.47,6900.47,14
2025.12.12 01:24:00,6900.59,6901.09,6900.22,6900.22,17
2025.12.12 01:25:00,6899.97,6901.59,6899.84,6901.34,22
2025.12.12 01:26:00,6901.22,6901.22,6900.34,6900.59,27
2025.12.12 01:27:00,6900.72,6900.72,6898.97,6900.34,29
2025.12.12 01:28:00,6900.22,6900.22,6899.34,6899.47,27
2025.12.12 01:29:00,6899.34,6899.59,6899.09,6899.47,29
2025.12.12 01:30:00,6899.47,6900.84,6899.47,6900.47,29
2025.12.12 01:31:00,6900.47,6901.72,6900.47,6901.34,30
2025.12.12 01:32:00,6901.22,6901.47,6900.84,6900.97,7
2025.12.12 01:33:00,6900.97,6900.97,6900.47,6900.72,11
2025.12.12 01:34:00,6901.22,6901.22,6900.72,6901.22,9
2025.12.12 01:35:00,6901.72,6901.72,6900.97,6901.22,11
2025.12.12 01:36:00,6901.16,6901.72,6900.97,6901.47,12
2025.12.12 01:37:00,6901.72,6901.72,6901.47,6901.72,7
2025.12.12 01:38:00,6901.47,6901.47,6900.97,6901.22,7
2025.12.12 01:39:00,6901.22,6901.72,6900.34,6901.72,9
2025.12.12 01:40:00,6901.47,6901.72,6901.22,6901.72,12
2025.12.12 01:41:00,6901.72,6901.72,6901.47,6901.47,6
2025.12.12 01:42:00,6901.47,6901.59,6901.09,6901.47,10
2025.12.12 01:43:00,6901.34,6901.47,6900.97,6901.47,13
2025.12.12 01:44:00,6901.72,6902.72,6901.72,6902.47,15
2025.12.12 01:45:00,6902.59,6902.59,6901.59,6901.97,20
2025.12.12 01:46:00,6902.47,6902.72,6902.22,6902.47,11
2025.12.12 01:47:00,6902.59,6902.72,6902.47,6902.72,11
2025.12.12 01:48:00,6902.59,6902.72,6902.22,6902.72,10
2025.12.12 01:49:00,6902.59,6902.72,6902.22,6902.22,8
2025.12.12 01:50:00,6902.09,6902.47,6901.84,6901.97,18
2025.12.12 01:51:00,6901.84,6901.97,6901.22,6901.22,20
2025.12.12 01:52:00,6901.22,6901.22,6900.47,6901.09,24
2025.12.12 01:53:00,6900.97,6900.97,6899.84,6900.22,26
2025.12.12 01:54:00,6900.09,6901.22,6899.84,6901.09,20
2025.12.12 01:55:00,6901.22,6901.72,6900.97,6900.97,27
2025.12.12 01:56:00,6901.09,6901.47,6900.78,6900.97,32
2025.12.12 01:57:00,6900.97,6901.22,6900.47,6901.22,23
2025.12.12 01:58:00,6901.09,6901.72,6900.97,6901.72,16
2025.12.12 01:59:00,6901.97,6901.97,6899.59,6900.22,24
2025.12.12 02:00:00,6899.84,6899.84,6896.59,6897.22,95
2025.12.12 02:01:00,6897.34,6897.97,6896.97,6897.47,61
2025.12.12 02:02:00,6897.53,6899.78,6897.47,6899.28,80
2025.12.12 02:03:00,6899.22,6899.22,6897.72,6898.22,65
2025.12.12 02:04:00,6898.09,6898.22,6896.84,6896.84,57
2025.12.12 02:05:00,6896.91,6897.72,6896.22,6897.22,53
2025.12.12 02:06:00,6897.22,6898.34,6897.09,6897.22,51
2025.12.12 02:07:00,6897.09,6897.72,6896.97,6897.47,24
2025.12.12 02:08:00,6897.53,6897.72,6897.09,6897.22,41
2025.12.12 02:09:00,6897.22,6897.22,6895.97,6895.97,39
2025.12.12 02:10:00,6895.34,6896.47,6895.28,6895.84,51
2025.12.12 02:11:00,6895.78,6896.22,6894.72,6895.47,64
2025.12.12 02:12:00,6895.28,6895.47,6894.47,6895.22,56
2025.12.12 02:13:00,6895.09,6895.72,6894.72,6895.28,40
2025.12.12 02:14:00,6895.47,6896.47,6895.28,6896.22,35
2025.12.12 02:15:00,6895.84,6897.47,6895.72,6896.97,45
2025.12.12 02:16:00,6896.97,6897.72,6896.97,6897.22,42
2025.12.12 02:17:00,6897.47,6898.47,6897.34,6898.22,26
2025.12.12 02:18:00,6897.97,6898.78,6897.47,6897.47,36
2025.12.12 02:19:00,6897.47,6898.47,6896.97,6897.97,28
2025.12.12 02:20:00,6898.22,6899.72,6898.22,6899.72,31
2025.12.12 02:21:00,6899.72,6900.22,6899.09,6899.22,26
2025.12.12 02:22:00,6899.22,6900.47,6899.22,6900.47,26
2025.12.12 02:23:00,6900.59,6900.72,6899.53,6899.72,33
2025.12.12 02:24:00,6899.47,6899.47,6898.72,6898.84,18
2025.12.12 02:25:00,6898.97,6898.97,6897.47,6897.72,29
2025.12.12 02:26:00,6897.72,6898.47,6897.72,6898.16,10
2025.12.12 02:27:00,6898.22,6898.72,6898.22,6898.72,7
2025.12.12 02:28:00,6898.78,6899.59,6898.78,6899.47,14
2025.12.12 02:29:00,6899.22,6899.72,6898.97,6899.72,21
2025.12.12 02:30:00,6899.78,6900.97,6899.72,6899.97,34
2025.12.12 02:31:00,6900.22,6900.59,6899.97,6900.22,24
2025.12.12 02:32:00,6899.97,6900.97,6899.97,6900.97,26
2025.12.12 02:33:00,6901.22,6902.47,6901.22,6902.47,24
2025.12.12 02:34:00,6902.72,6903.47,6902.72,6902.97,42
2025.12.12 02:35:00,6902.72,6902.97,6901.09,6901.22,29
2025.12.12 02:36:00,6901.47,6901.47,6900.22,6900.22,32
2025.12.12 02:37:00,6900.47,6902.16,6900.22,6901.72,38
2025.12.12 02:38:00,6901.84,6902.72,6901.72,6902.47,25
2025.12.12 02:39:00,6902.34,6902.72,6901.97,6902.47,39
2025.12.12 02:40:00,6902.22,6903.22,6902.22,6902.72,22
2025.12.12 02:41:00,6902.72,6902.72,6901.41,6901.72,16
2025.12.12 02:42:00,6901.84,6901.97,6900.72,6900.72,25
2025.12.12 02:43:00,6900.97,6901.22,6899.53,6900.22,36
2025.12.12 02:44:00,6900.22,6900.72,6899.22,6899.22,24
2025.12.12 02:45:00,6899.47,6900.22,6899.22,6899.91,46
2025.12.12 02:46:00,6899.78,6900.59,6899.72,6899.72,47
2025.12.12 02:47:00,6899.97,6899.97,6899.47,6899.72,43
2025.12.12 02:48:00,6899.59,6900.16,6898.84,6899.22,38
2025.12.12 02:49:00,6899.16,6899.22,6898.47,6898.97,28
2025.12.12 02:50:00,6898.72,6900.72,6898.66,6900.34,44
2025.12.12 02:51:00,6900.22,6900.47,6898.72,6899.47,33
2025.12.12 02:52:00,6899.47,6899.47,6897.97,6898.72,29
2025.12.12 02:53:00,6898.72,6898.72,6897.84,6898.09,22
2025.12.12 02:54:00,6897.97,6898.22,6897.09,6898.22,22
2025.12.12 02:55:00,6898.16,6899.03,6897.97,6897.97,46
2025.12.12 02:56:00,6898.22,6898.72,6897.97,6897.97,40
2025.12.12 02:57:00,6898.22,6898.22,6897.22,6897.47,27
2025.12.12 02:58:00,6897.22,6897.47,6896.22,6896.22,46
2025.12.12 02:59:00,6896.03,6897.34,6895.97,6896.84,53
2025.12.12 03:00:00,6896.97,6897.72,6896.72,6897.47,46
2025.12.12 03:01:00,6897.22,6899.47,6897.22,6898.97,49
2025.12.12 03:02:00,6898.72,6899.22,6898.47,6899.09,42
2025.12.12 03:03:00,6899.47,6899.72,6898.97,6898.97,42
2025.12.12 03:04:00,6899.22,6899.22,6897.97,6898.47,39
2025.12.12 03:05:00,6898.72,6899.22,6898.22,6898.72,28
2025.12.12 03:06:00,6898.47,6898.97,6897.72,6897.72,32
2025.12.12 03:07:00,6897.47,6897.59,6896.97,6897.22,39
2025.12.12 03:08:00,6897.34,6898.72,6897.34,6897.97,46
2025.12.12 03:09:00,6897.97,6898.47,6897.22,6898.47,43
2025.12.12 03:10:00,6898.22,6898.84,6898.22,6898.22,40
2025.12.12 03:11:00,6898.22,6898.72,6897.97,6898.34,23
2025.12.12 03:12:00,6898.47,6898.97,6898.22,6898.22,34
2025.12.12 03:13:00,6897.91,6898.22,6897.72,6897.72,21
2025.12.12 03:14:00,6897.97,6898.22,6897.47,6898.09,18
2025.12.12 03:15:00,6898.22,6900.72,6897.97,6900.59,47
2025.12.12 03:16:00,6900.47,6902.72,6900.47,6902.22,59
2025.12.12 03:17:00,6901.84,6902.72,6900.97,6901.97,56
2025.12.12 03:18:00,6901.72,6902.47,6901.72,6902.22,36
2025.12.12 03:19:00,6902.09,6902.72,6901.97,6902.72,28
2025.12.12 03:20:00,6902.47,6902.72,6901.22,6901.47,34
2025.12.12 03:21:00,6901.22,6901.78,6900.72,6901.47,30
2025.12.12 03:22:00,6901.72,6901.97,6901.47,6901.72,17
2025.12.12 03:23:00,6901.72,6901.97,6901.47,6901.97,28
2025.12.12 03:24:00,6901.97,6902.47,6901.72,6901.72,22
2025.12.12 03:25:00,6901.47,6902.59,6901.47,6902.47,25
2025.12.12 03:26:00,6902.34,6902.47,6901.97,6902.22,20
2025.12.12 03:27:00,6902.47,6902.72,6901.97,6902.22,31
2025.12.12 03:28:00,6902.22,6902.47,6901.97,6901.97,25
2025.12.12 03:29:00,6902.22,6902.72,6901.72,6902.47,12
2025.12.12 03:30:00,6902.22,6902.22,6901.22,6901.72,17
2025.12.12 03:31:00,6901.72,6901.72,6900.47,6901.22,21
2025.12.12 03:32:00,6900.97,6901.22,6900.47,6900.97,36
2025.12.12 03:33:00,6901.09,6901.72,6900.97,6901.72,27
2025.12.12 03:34:00,6901.47,6901.47,6900.47,6901.22,40
2025.12.12 03:35:00,6901.22,6901.72,6900.72,6901.22,34
2025.12.12 03:36:00,6901.22,6901.47,6900.72,6900.72,13
2025.12.12 03:37:00,6900.47,6901.47,6900.47,6901.22,18
2025.12.12 03:38:00,6901.47,6901.53,6900.97,6901.47,23
2025.12.12 03:39:00,6901.34,6901.72,6900.97,6901.22,21
2025.12.12 03:40:00,6901.47,6901.97,6901.47,6901.72,13
2025.12.12 03:41:00,6901.47,6901.72,6901.22,6901.47,17
2025.12.12 03:42:00,6901.53,6901.72,6901.22,6901.22,13
2025.12.12 03:43:00,6901.22,6901.72,6901.22,6901.22,15
2025.12.12 03:44:00,6901.47,6901.47,6900.72,6900.72,8
2025.12.12 03:45:00,6900.97,6900.97,6900.72,6900.97,9
2025.12.12 03:46:00,6901.22,6901.22,6900.22,6900.22,24
2025.12.12 03:47:00,6899.97,6900.72,6899.97,6900.47,10
2025.12.12 03:48:00,6900.53,6900.59,6899.97,6900.22,14
2025.12.12 03:49:00,6900.47,6900.47,6899.72,6899.97,19
2025.12.12 03:50:00,6899.72,6900.47,6899.72,6900.47,10
2025.12.12 03:51:00,6900.47,6900.72,6899.22,6899.72,24
2025.12.12 03:52:00,6899.47,6900.22,6899.47,6899.97,14
2025.12.12 03:53:00,6900.22,6900.22,6899.97,6900.22,3
2025.12.12 03:54:00,6900.47,6900.72,6900.22,6900.47,31
2025.12.12 03:55:00,6900.47,6900.72,6900.22,6900.22,4
2025.12.12 03:56:00,6900.47,6900.84,6900.47,6900.72,17
2025.12.12 03:57:00,6900.47,6901.22,6900.47,6900.97,9
2025.12.12 03:58:00,6901.09,6902.47,6900.97,6902.47,10
2025.12.12 03:59:00,6902.34,6902.72,6902.22,6902.47,25
2025.12.12 04:00:00,6902.22,6902.47,6901.72,6902.47,31
2025.12.12 04:01:00,6902.72,6902.72,6901.97,6902.22,15
2025.12.12 04:02:00,6902.22,6902.22,6901.72,6901.72,18
2025.12.12 04:03:00,6901.72,6902.09,6901.72,6902.09,19
2025.12.12 04:04:00,6902.03,6902.22,6901.97,6902.22,14
2025.12.12 04:05:00,6902.47,6902.72,6902.22,6902.47,18
2025.12.12 04:06:00,6902.34,6902.72,6902.34,6902.47,14
2025.12.12 04:07:00,6902.47,6902.72,6902.47,6902.72,4
2025.12.12 04:08:00,6902.47,6905.47,6902.47,6905.22,25
2025.12.12 04:09:00,6904.97,6905.47,6904.47,6905.22,30
2025.12.12 04:10:00,6905.22,6905.47,6904.47,6904.97,16
2025.12.12 04:11:00,6904.72,6906.72,6904.72,6906.47,25
2025.12.12 04:12:00,6906.47,6906.72,6905.97,6905.97,49
2025.12.12 04:13:00,6905.84,6906.47,6905.72,6906.22,36
2025.12.12 04:14:00,6906.03,6906.59,6905.97,6905.97,26
2025.12.12 04:15:00,6905.84,6906.72,6905.47,6905.97,36
2025.12.12 04:16:00,6906.09,6906.22,6904.97,6904.97,36
2025.12.12 04:17:00,6905.09,6905.97,6904.97,6905.97,34
2025.12.12 04:18:00,6905.97,6905.97,6905.47,6905.72,19
2025.12.12 04:19:00,6905.47,6906.22,6905.47,6905.97,17
2025.12.12 04:20:00,6905.97,6906.22,6905.72,6905.97,14
2025.12.12 04:21:00,6906.09,6906.72,6905.47,6905.47,22
2025.12.12 04:22:00,6905.59,6906.47,6905.22,6906.22,14
2025.12.12 04:23:00,6906.22,6906.47,6905.72,6905.72,23
2025.12.12 04:24:00,6905.47,6905.47,6904.22,6904.72,33
2025.12.12 04:25:00,6904.72,6905.22,6904.22,6904.97,31
2025.12.12 04:26:00,6905.22,6905.22,6904.47,6904.59,20
2025.12.12 04:27:00,6904.47,6904.72,6904.47,6904.72,21
2025.12.12 04:28:00,6904.47,6904.72,6903.97,6904.47,22
2025.12.12 04:29:00,6904.28,6904.72,6904.22,6904.47,21
2025.12.12 04:30:00,6904.34,6905.22,6903.97,6904.97,22
2025.12.12 04:31:00,6905.22,6905.47,6904.72,6904.97,21
2025.12.12 04:32:00,6904.97,6905.97,6904.72,6905.59,18
2025.12.12 04:33:00,6905.66,6905.97,6905.47,6905.47,20
2025.12.12 04:34:00,6905.47,6905.59,6904.84,6905.22,19
2025.12.12 04:35:00,6905.34,6905.47,6905.16,6905.47,14
2025.12.12 04:36:00,6905.47,6906.47,6905.47,6905.97,13
2025.12.12 04:37:00,6906.22,6906.59,6906.09,6906.22,18
2025.12.12 04:38:00,6906.34,6906.41,6905.72,6906.22,10
2025.12.12 04:39:00,6906.47,6906.72,6906.47,6906.47,10
2025.12.12 04:40:00,6906.72,6906.72,6906.47,6906.47,9
2025.12.12 04:41:00,6906.47,6906.97,6906.22,6906.97,23
2025.12.12 04:42:00,6906.97,6907.22,6906.84,6906.97,12
2025.12.12 04:43:00,6907.22,6907.22,6906.72,6906.72,9
