Time,Open,High,Low,Close,Volume
2025.12.12 02:15:00,24359.05,24363.55,24352.55,24363.55,22
2025.12.12 02:16:00,24362.55,24362.55,24345.55,24349.05,23
2025.12.12 02:17:00,24350.05,24352.55,24349.55,24352.55,3
2025.12.12 02:18:00,24352.55,24353.55,24352.55,24353.55,2
2025.12.12 02:19:00,24353.55,24361.55,24353.55,24361.55,6
2025.12.12 02:20:00,24362.05,24364.05,24361.05,24362.55,9
2025.12.12 02:21:00,24364.05,24366.05,24364.05,24364.55,5
2025.12.12 02:22:00,24364.55,24366.05,24363.55,24366.05,3
2025.12.12 02:23:00,24369.05,24369.05,24368.05,24368.55,3
2025.12.12 02:24:00,24368.55,24371.05,24368.05,24371.05,9
2025.12.12 02:25:00,24370.05,24370.05,24363.55,24363.55,5
2025.12.12 02:26:00,24363.55,24365.55,24363.55,24365.55,4
2025.12.12 02:27:00,24365.05,24366.05,24365.05,24366.05,2
2025.12.12 02:28:00,24366.05,24370.05,24366.05,24368.05,9
2025.12.12 02:29:00,24367.55,24370.05,24367.55,24369.55,3
2025.12.12 02:30:00,24369.55,24374.55,24365.55,24367.05,14
2025.12.12 02:31:00,24366.05,24367.55,24366.05,24366.55,6
2025.12.12 02:32:00,24366.05,24367.55,24365.55,24366.55,5
2025.12.12 02:33:00,24367.05,24368.05,24367.05,24368.05,9
2025.12.12 02:34:00,24370.05,24374.55,24370.05,24374.55,6
2025.12.12 02:35:00,24375.05,24375.05,24372.55,24373.05,8
2025.12.12 02:36:00,24373.05,24373.05,24367.55,24367.55,12
2025.12.12 02:37:00,24367.55,24370.05,24367.55,24370.05,5
2025.12.12 02:38:00,24370.05,24375.55,24370.05,24375.55,10
2025.12.12 02:39:00,24377.55,24378.55,24372.55,24375.05,15
2025.12.12 02:40:00,24376.05,24378.05,24376.05,24376.55,3
2025.12.12 02:41:00,24373.55,24373.55,24370.55,24371.05,8
2025.12.12 02:42:00,24370.55,24371.05,24367.05,24367.55,9
2025.12.12 02:43:00,24367.55,24367.55,24363.55,24364.05,8
2025.12.12 02:44:00,24362.55,24365.55,24362.55,24365.55,2
2025.12.12 02:45:00,24364.55,24367.05,24363.55,24366.55,20
2025.12.12 02:46:00,24366.55,24369.55,24365.05,24369.05,9
2025.12.12 02:47:00,24369.05,24369.05,24369.05,24369.05,1
2025.12.12 02:48:00,24368.05,24370.05,24367.55,24367.55,5
2025.12.12 02:49:00,24367.55,24368.55,24365.55,24365.55,5
2025.12.12 02:50:00,24365.55,24375.55,24363.55,24375.05,9
2025.12.12 02:51:00,24375.05,24375.05,24364.05,24364.55,12
2025.12.12 02:52:00,24364.55,24364.55,24361.05,24363.05,10
2025.12.12 02:53:00,24362.55,24362.55,24358.55,24360.05,9
2025.12.12 02:54:00,24360.05,24360.05,24356.55,24356.55,9
2025.12.12 02:55:00,24357.05,24360.05,24356.05,24356.05,8
2025.12.12 02:56:00,24356.55,24357.05,24356.05,24356.55,5
2025.12.12 02:57:00,24356.05,24357.05,24355.55,24356.55,5
2025.12.12 02:58:00,24356.55,24357.05,24355.55,24356.55,16
2025.12.12 02:59:00,24355.05,24357.55,24354.55,24357.55,5
2025.12.12 03:00:00,24357.55,24360.55,24355.55,24356.05,10
2025.12.12 03:01:00,24356.55,24366.05,24356.55,24366.05,6
2025.12.12 03:02:00,24365.55,24366.05,24365.55,24366.05,2
2025.12.12 03:03:00,24366.05,24366.55,24363.55,24363.55,9
2025.12.12 03:04:00,24364.05,24364.55,24360.55,24360.55,9
2025.12.12 03:05:00,24360.55,24364.55,24360.55,24363.55,9
2025.12.12 03:06:00,24363.55,24363.55,24359.55,24359.55,4
2025.12.12 03:08:00,24355.05,24355.05,24352.05,24353.55,4
2025.12.12 03:09:00,24353.05,24353.05,24349.55,24352.05,8
2025.12.12 03:10:00,24352.05,24354.05,24351.55,24353.05,10
2025.12.12 03:11:00,24354.05,24355.05,24352.05,24353.05,7
2025.12.12 03:12:00,24352.55,24355.55,24350.55,24353.55,11
2025.12.12 03:13:00,24353.55,24353.55,24351.55,24353.05,5
2025.12.12 03:14:00,24352.05,24353.0,24350.5,24352.5,12
2025.12.12 03:15:00,24352.5,24359.0,24352.0,24357.0,26
2025.12.12 03:16:00,24357.5,24362.0,24357.5,24361.0,19
2025.12.12 03:17:00,24360.5,24361.5,24358.0,24358.0,6
2025.12.12 03:18:00,24358.0,24360.0,24357.5,24357.5,5
2025.12.12 03:19:00,24357.5,24358.0,24356.0,24357.0,6
2025.12.12 03:20:00,24356.5,24356.5,24352.0,24352.0,3
2025.12.12 03:21:00,24352.0,24352.5,24351.0,24351.5,6
2025.12.12 03:22:00,24352.5,24354.0,24352.5,24353.5,5
2025.12.12 03:23:00,24354.5,24357.0,24354.5,24357.0,8
2025.12.12 03:24:00,24357.0,24360.5,24357.0,24360.5,2
2025.12.12 03:25:00,24360.0,24363.0,24360.0,24363.0,3
2025.12.12 03:26:00,24363.0,24363.0,24361.5,24361.5,5
2025.12.12 03:27:00,24362.0,24362.5,24361.0,24362.0,4
2025.12.12 03:28:00,24364.0,24364.5,24363.0,24363.0,11
2025.12.12 03:29:00,24363.5,24366.0,24363.5,24366.0,14
2025.12.12 03:30:00,24366.0,24366.5,24361.0,24361.0,9
2025.12.12 03:31:00,24360.0,24360.5,24356.0,24357.0,10
2025.12.12 03:32:00,24355.0,24356.5,24354.5,24356.5,8
2025.12.12 03:33:00,24356.5,24357.5,24356.5,24357.5,3
2025.12.12 03:34:00,24356.0,24357.5,24354.0,24357.5,13
2025.12.12 03:35:00,24357.0,24357.5,24355.5,24356.5,12
2025.12.12 03:36:00,24356.0,24357.5,24355.5,24356.0,13
2025.12.12 03:37:00,24356.5,24356.5,24354.5,24354.5,8
2025.12.12 03:38:00,24355.0,24358.0,24353.0,24355.5,8
2025.12.12 03:39:00,24355.5,24358.5,24355.0,24358.5,5
2025.12.12 03:40:00,24358.5,24360.5,24358.5,24358.5,4
2025.12.12 03:42:00,24358.5,24359.5,24358.5,24359.5,2
2025.12.12 03:43:00,24359.5,24360.0,24359.0,24360.0,4
2025.12.12 03:44:00,24360.0,24361.0,24360.0,24360.0,3
2025.12.12 03:45:00,24361.0,24361.0,24360.5,24361.0,3
2025.12.12 03:46:00,24361.0,24363.5,24361.0,24361.5,9
