Time,Open,High,Low,Close,Volume
2025.12.12 00:05:00,0.79511,0.79511,0.79511,0.79511,1
2025.12.12 00:06:00,0.79511,0.79511,0.79393,0.79504,25
2025.12.12 00:07:00,0.79504,0.79505,0.79445,0.79449,23
2025.12.12 00:08:00,0.79452,0.79505,0.79452,0.79485,15
2025.12.12 00:09:00,0.79474,0.79504,0.79423,0.79497,23
2025.12.12 00:10:00,0.79469,0.79505,0.79393,0.79476,36
2025.12.12 00:11:00,0.79463,0.79505,0.79393,0.79446,45
2025.12.12 00:12:00,0.79403,0.79504,0.79393,0.79504,37
2025.12.12 00:13:00,0.79472,0.79505,0.79443,0.79505,13
2025.12.12 00:14:00,0.79505,0.79505,0.79393,0.79425,35
2025.12.12 00:15:00,0.79412,0.79483,0.79412,0.79426,32
2025.12.12 00:16:00,0.79432,0.79453,0.79393,0.79397,13
2025.12.12 00:17:00,0.79399,0.79402,0.79395,0.79395,6
2025.12.12 00:18:00,0.79395,0.79395,0.79393,0.79393,2
2025.12.12 00:19:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:20:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:21:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:22:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:23:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:24:00,0.79393,0.79394,0.79393,0.79394,2
2025.12.12 00:25:00,0.79394,0.79394,0.79393,0.79394,3
2025.12.12 00:26:00,0.79394,0.79395,0.79394,0.79395,2
2025.12.12 00:27:00,0.79395,0.79395,0.79393,0.79393,2
2025.12.12 00:28:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:29:00,0.79393,0.79393,0.79393,0.79393,1
2025.12.12 00:30:00,0.79393,0.79444,0.79393,0.79417,25
2025.12.12 00:31:00,0.79422,0.79446,0.79393,0.79402,42
2025.12.12 00:32:00,0.79401,0.79444,0.79393,0.79413,44
2025.12.12 00:33:00,0.79423,0.79451,0.79393,0.79431,77
2025.12.12 00:34:00,0.79431,0.79457,0.79424,0.79424,7
2025.12.12 00:35:00,0.79449,0.79452,0.79446,0.7945,9
2025.12.12 00:36:00,0.7945,0.79455,0.79447,0.79455,3
2025.12.12 00:37:00,0.79449,0.79449,0.79438,0.79444,11
2025.12.12 00:38:00,0.79444,0.79462,0.79444,0.79445,16
